glyph_id	text	unicode	source_unit	unit_kind
313	再	U+518D	再	fullwidth_single
314	解	U+89E3	解	fullwidth_single
315	退	U+9000	退	fullwidth_single
316	麻	U+9EBB	麻	fullwidth_single
317	耐	U+8010	耐	fullwidth_single
318	速	U+901F	速	fullwidth_single
319	度	U+5EA6	度	fullwidth_single
320	綠	U+7DA0	綠	fullwidth_single
321	寶	U+5BF6	寶	fullwidth_single
322	石	U+77F3	石	fullwidth_single
323	紅	U+7D05	紅	fullwidth_single
324	藍	U+85CD	藍	fullwidth_single
325	鑽	U+947D	鑽	fullwidth_single
326	飛	U+98DB	飛	fullwidth_single
327	卵	U+5375	卵	fullwidth_single
328	粒	U+7C92	粒	fullwidth_single
329	控	U+63A7	控	fullwidth_single
330	制	U+5236	制	fullwidth_single
331	中	U+4E2D	中	fullwidth_single
332	樞	U+6A1E	樞	fullwidth_single
333	星	U+661F	星	fullwidth_single
334	要	U+8981	要	fullwidth_single
335	記	U+8A18	記	fullwidth_single
336	錄	U+9304	錄	fullwidth_single
337	況	U+6CC1	況	fullwidth_single
338	嗎	U+55CE	嗎	fullwidth_single
339	已	U+5DF2	已	fullwidth_single
340	被	U+88AB	被	fullwidth_single
341	了	U+4E86	了	fullwidth_single
342	！	U+FF01	！	fullwidth_single
343	是	U+662F	是	fullwidth_single
344	麼	U+9EBC	麼	fullwidth_single
345	就	U+5C31	就	fullwidth_single
346	不	U+4E0D	不	fullwidth_single
347	·	U+00B7	·	fullwidth_single
348	讀	U+8B80	讀	fullwidth_single
349	取	U+53D6	取	fullwidth_single
350	請	U+8ACB	請	fullwidth_single
351	稍	U+7A0D	稍	fullwidth_single
352	等	U+7B49	等	fullwidth_single
353	離	U+96E2	離	fullwidth_single
354	開	U+958B	開	fullwidth_single
355	場	U+5834	場	fullwidth_single
356	休	U+4F11	休	fullwidth_single
357	息	U+606F	息	fullwidth_single
358	吧	U+5427	吧	fullwidth_single
359	決	U+6C7A	決	fullwidth_single
360	定	U+5B9A	定	fullwidth_single
361	軍	U+8ECD	軍	fullwidth_single
362	全	U+5168	全	fullwidth_single
363	發	U+767C	發	fullwidth_single
364	進	U+9032	進	fullwidth_single
365	結	U+7D50	結	fullwidth_single
366	本	U+672C	本	fullwidth_single
367	的	U+7684	的	fullwidth_single
368	動	U+52D5	動	fullwidth_single
369	好	U+597D	好	fullwidth_single
370	，	U+FF0C	，	fullwidth_single
371	現	U+73FE	現	fullwidth_single
372	箱	U+7BB1	箱	fullwidth_single
373	打	U+6253	打	fullwidth_single
374	具	U+5177	具	fullwidth_single
375	滿	U+6EFF	滿	fullwidth_single
376	交	U+4EA4	交	fullwidth_single
377	換	U+63DB	換	fullwidth_single
378	把	U+628A	把	fullwidth_single
379	放	U+653E	放	fullwidth_single
380	去	U+53BB	去	fullwidth_single
381	起	U+8D77	起	fullwidth_single
382	惜	U+60DC	惜	fullwidth_single
383	藏	U+85CF	藏	fullwidth_single
384	挖	U+6316	挖	fullwidth_single
385	掘	U+6398	掘	fullwidth_single
386	得	U+5F97	得	fullwidth_single
387	到	U+5230	到	fullwidth_single
388	從	U+5F9E	從	fullwidth_single
